space,euclidean_mean,euclidean_median,euclidean_min,euclidean_std,cosine_sim_mean,cosine_sim_median,manhattan_mean,manhattan_median,mahalanobis_mean,hausdorff_symmetric,hausdorff_forward,hausdorff_backward,knn_overlap_mean,knn_overlap_std,silhouette_score,mannwhitney_u,mannwhitney_p,ks_statistic,ks_p,permutation_p,dist_to_others_mean,n_select,n_important
Original_512D,31.91209366449091,31.822437811548163,30.330109860510905,0.8752990612225717,-0.00010722457858712965,0.002533774098910757,589.1293965060277,585.0028132689185,31.935813066056248,32.329290294964785,32.329290294964785,31.180445238978603,0.0,0.0,-0.001360048190690577,8544440.0,0.33783313491065803,0.08836799606030377,0.8432210433862142,0.37,31.952330210702797,9,5
PCA,1.3729113942660494,1.1162565854755013,0.12645384658941236,0.8793092523662241,0.02164537643156656,0.24830047738094652,1.6833892330630786,1.401611678302288,1.2403427312161355,1.7533274067812388,1.7533274067812388,0.7303500747127266,0.0,0.0,-0.11622774600982666,6305168.0,0.00039886870507888246,0.2728869190407652,0.0018815742357581877,0.005,1.8524690960737524,9,5
TSNE,32.6680475004959,30.374934926999753,7.913329102636591,15.690509877237183,0.00299881482818922,-0.06294214599512427,40.30395128842857,38.49609136581421,1.6391832585141635,38.276820091352086,38.276820091352086,12.138280244233489,0.0,0.0,-0.0549459345638752,7608707.0,0.04999264987662986,0.15530323222630912,0.20525714015838392,0.065,37.10023903518422,9,5
UMAP,1.810002330715089,1.7237680986732495,0.25625755908804265,0.8738190524051616,0.9638872747234075,0.9796851039459363,2.2902054521772595,2.108870506286621,1.4982680584754253,1.474730106460278,1.474730106460278,1.315432937483807,0.0,0.0,-0.058891765773296356,7694893.0,0.06276689899219172,0.1277157123310969,0.42009330801355516,0.114,2.041097511182984,9,5
