,Actb,Ccl5,Ftl1,mt-Co1,mt-Co3
GAPDH,30.330109860510905,32.86132266806113,31.354474084191473,33.70447475545501,31.42723453867229
IKBKB,31.04252784858429,32.816143540864246,31.47449008302466,31.379958883823544,31.822437811548163
IKBKG,30.837739376557153,31.6653503567822,32.11275329466183,32.65547500492976,33.22104060698721
NFKB1,30.739643715468095,31.755132335812522,32.0749552358094,31.715838249056592,32.68389920021819
RELA,32.64511876101479,33.39805437664605,32.60542661321384,32.329290294964785,33.53298166989404
TNFAIP3,31.423759518715663,31.584291404262647,31.280667683026287,30.529917790454434,30.786453500428184
TRADD,30.848550458233625,33.224138429155694,30.742707411245622,31.59991923558939,30.44100845640867
TRAF2,32.03371796664935,32.76912307188981,32.5268121465964,33.04833968181645,32.218044072386846
TRAF5,31.93870817280273,31.180445238978603,31.532267564531946,32.05660281148664,32.092867120679735
