,Actb,Ccl5,Ftl1,mt-Co1,mt-Co3
GAPDH,3.6304532567257675,1.6652546024984263,1.1767368854602371,2.9854677106575216,1.3700486774663891
IKBKB,3.735706707324952,1.164606692516201,1.512342296623372,2.6221185577710457,1.584045707304732
IKBKG,2.8134125147068634,0.5086413690958222,0.8450019610835955,1.8124623588399744,0.7958481217128243
NFKB1,2.1553758403947714,1.6008716367121032,0.43519522722922493,2.1575464669194444,0.45528493116118607
RELA,2.8411365174786436,0.7570598722924222,0.6634425394949749,1.9973033005740657,0.6780986195160643
TNFAIP3,2.1393171183621797,1.427098131108998,2.225078867581749,0.25625755908804265,1.997673742810161
TRADD,1.315432937483807,2.39466150857551,1.5135664927109471,2.270086565665658,1.4244239383604902
TRAF2,1.474730106460278,2.7428262678210262,1.7790182025715164,2.628128186726158,1.7237680986732495
TRAF5,3.7323982656715073,1.369938999962045,2.6353643630824606,1.9209603671727173,2.5159127907298915
