,Actb,Ccl5,Ftl1,mt-Co1,mt-Co3
GAPDH,1.7460587406042973,0.49965385505166593,1.116376711044865,0.12645384658941236,0.9107136179737024
IKBKB,2.009785180366073,0.3604272668385042,1.3771210881737541,0.4227634623312586,1.1094290639625568
IKBKG,2.8042448776344795,0.8834173288279925,2.184201582092926,1.2869651681252379,1.8685682903582423
NFKB1,0.7303500747127266,1.5616989188576977,0.28106868652202155,0.9631177848432454,0.5584461074213498
RELA,1.005786578874107,1.4893753190914392,0.6312611034121339,0.9655612037436521,0.8444809874957578
TNFAIP3,1.7533274067812388,3.740946814970428,2.294246255169689,3.176022131448789,2.6461538268116884
TRADD,0.7405640034143516,1.5723599988075714,0.20858120628866586,0.953010797112512,0.19862036677637313
TRAF2,3.3095787340208225,1.0696083403796024,2.683246964254051,1.6921917444684245,2.4620856243832736
TRAF5,1.1162565854755013,1.7785677664726238,0.8164316458778281,1.2404775058674666,0.5914081782422129
