x,y,phenotype,dataset
12.518204,-0.909175,Diseased,26
12.946018,1.6224316,Diseased,26
14.742752,-2.2823043,Diseased,26
14.325717,-1.5452477,Diseased,26
15.992958,0.53873485,Diseased,26
5.598953,17.160173,Diseased,26
13.733152,1.3174071,Diseased,26
2.6901522,15.487992,Diseased,26
-3.3037152,14.279452,Diseased,26
13.402149,0.735989,Diseased,26
-5.1347017,6.2873077,Control,81
-4.3973103,1.8258007,Diseased,26
-0.062487897,15.4576235,Diseased,26
-0.7197662,16.06298,Diseased,26
1.9743228,14.725079,Diseased,26
14.416262,1.134773,Diseased,26
13.217443,1.1633965,Diseased,26
12.01454,0.6054951,Diseased,26
-1.7651651,11.632427,Diseased,26
13.398295,2.542518,Diseased,26
-4.856619,14.00359,Diseased,26
13.552479,0.37892663,Diseased,26
14.533077,-1.0386479,Diseased,26
-0.69518536,17.61593,Diseased,26
13.500146,2.0803614,Diseased,26
-1.4726406,18.964188,Diseased,26
14.523468,0.9731794,Diseased,26
14.263081,-1.2084205,Diseased,26
13.302254,-0.09935716,Diseased,26
13.669785,1.346686,Diseased,26
13.99741,-0.6612554,Diseased,26
14.960245,-0.1353921,Diseased,26
14.245513,0.8403037,Diseased,26
13.667458,-1.0255141,Diseased,26
-7.091483,10.810854,Diseased,26
0.33305117,19.001125,Diseased,26
3.0224323,14.25811,Diseased,26
13.42836,0.75797164,Diseased,26
-0.07596122,18.453123,Diseased,26
13.639689,-0.45358592,Diseased,26
-5.580122,2.1679978,Diseased,26
2.21964,14.942053,Diseased,26
1.1653711,15.437777,Control,81
3.3335924,8.187694,Diseased,48
12.6837635,-0.8175343,Diseased,26
-6.005691,1.8653626,Diseased,26
13.104329,0.56833833,Diseased,26
12.763351,-1.6282742,Diseased,26
14.993446,-0.41718468,Diseased,26
12.606027,0.06636516,Diseased,26
15.374565,1.1795825,Diseased,26
14.117994,-0.91110134,Diseased,26
-6.222099,2.7555213,Diseased,26
-1.8199891,-0.3555286,Diseased,26
-4.9169583,12.24846,Diseased,26
-1.2456445,18.474766,Diseased,26
-0.40212148,-0.16587538,Diseased,26
-3.955795,1.8155141,Diseased,26
-4.6854205,19.283884,Diseased,26
15.275297,-0.1559547,Diseased,26
1.5703242,17.568384,Diseased,26
-0.6712238,19.05595,Diseased,26
12.673656,-2.2283258,Diseased,26
14.435402,1.3620067,Diseased,26
13.923313,-0.52970713,Diseased,26
15.200545,-0.762728,Diseased,26
-1.8238858,21.135326,Diseased,26
-8.209458,3.2455094,Diseased,26
13.637573,-0.7550887,Diseased,26
11.575593,0.0068707834,Diseased,26
15.636064,1.074552,Diseased,26
5.2860913,14.523126,Diseased,26
14.301707,-1.8498961,Diseased,26
14.097323,-1.2035751,Diseased,26
1.0264646,15.837651,Control,81
13.568596,0.24680632,Diseased,26
14.000139,0.537085,Diseased,26
-2.3545256,0.023953484,Diseased,26
3.292977,8.179439,Diseased,26
13.319228,1.0967256,Diseased,26
15.760926,1.0230113,Diseased,26
-4.5686574,14.128142,Diseased,26
16.312576,0.633075,Diseased,26
13.484543,0.051303584,Diseased,26
13.414353,-2.5043273,Diseased,26
-2.5580106,14.590655,Diseased,26
13.974224,0.43811846,Diseased,26
13.508162,2.015245,Diseased,26
13.8212185,-1.2522815,Diseased,26
-3.2527359,12.668785,Diseased,26
13.200602,1.8634614,Diseased,26
4.617899,14.671882,Diseased,26
14.04892,-0.6540183,Diseased,26
13.637239,1.0445507,Diseased,26
15.080789,-0.052530356,Diseased,26
-1.3034341,11.937363,Diseased,26
5.2583747,16.280499,Diseased,26
12.386006,-0.44800934,Diseased,26
14.2239,-0.08417345,Diseased,26
2.568138,15.14974,Diseased,26
15.989282,-0.2718141,Diseased,26
-4.237155,13.72729,Diseased,26
14.498753,-0.72451293,Diseased,26
13.453768,-1.7998983,Diseased,26
15.037966,-1.9809821,Diseased,26
13.394856,-0.66017103,Diseased,26
-1.3222212,14.835434,Diseased,26
13.877244,-0.8820953,Diseased,26
3.4363515,15.535193,Diseased,26
12.154708,0.43798482,Diseased,26
15.074025,0.09571958,Diseased,26
5.4017463,15.741891,Diseased,26
-4.6943707,13.803816,Diseased,26
12.275816,-0.3255462,Diseased,26
12.990945,1.7384107,Diseased,26
13.317701,1.6868302,Diseased,26
13.209339,1.8453119,Diseased,26
12.795335,-0.086429216,Diseased,26
13.682741,-2.1104574,Diseased,26
15.264167,-1.4069507,Diseased,26
15.918519,-0.2096182,Diseased,26
-1.0902357,-0.4638433,Diseased,26
3.0483892,10.99401,Diseased,26
11.97091,1.6177104,Diseased,26
12.0071,0.59217066,Diseased,26
-1.8669013,13.754749,Diseased,26
14.252968,1.069312,Diseased,26
12.470752,-1.9114568,Diseased,26
-2.7039518,-9.896112,Diseased,26
16.114855,-0.16740417,Diseased,26
3.1625278,18.123474,Diseased,26
4.005289,11.777585,Diseased,52
11.904316,-1.0551372,Diseased,26
14.789991,0.04713857,Diseased,26
11.048705,-0.0288103,Diseased,26
12.856205,-0.5847212,Diseased,26
11.84389,-0.17413218,Diseased,26
4.5910645,16.809568,Diseased,26
12.157377,-0.46264926,Diseased,26
14.197711,-2.3638785,Diseased,26
13.168731,0.36099824,Diseased,26
-1.052679,18.387777,Diseased,26
14.194064,-0.52870727,Diseased,26
-1.3489976,15.17674,Diseased,26
0.6601464,18.717712,Control,81
-1.8293527,12.043935,Diseased,26
-3.9360435,12.91773,Control,81
3.2856905,10.997026,Diseased,20
14.331962,0.21585909,Diseased,26
11.21295,1.1301882,Diseased,26
13.62182,1.7949557,Diseased,26
14.644919,1.1319457,Diseased,26
14.002671,-0.41653368,Diseased,26
15.320072,-1.1143671,Diseased,26
16.318073,1.022629,Diseased,26
13.811839,0.47292885,Diseased,26
12.3301935,-2.2735364,Diseased,26
14.469642,0.49363285,Diseased,26
-1.3256283,20.418121,Diseased,26
14.71922,0.97762793,Diseased,26
-5.171031,13.748034,Diseased,26
15.036431,0.85792834,Diseased,26
-6.8137794,10.826285,Diseased,26
14.528643,0.83330274,Diseased,26
13.754178,-2.1020083,Diseased,26
13.542858,-0.62410283,Diseased,26
12.473668,-0.087640025,Diseased,26
-7.0961704,10.809083,Diseased,26
-0.2502857,14.772836,Diseased,26
5.4064,15.229969,Diseased,26
12.8454075,0.50220287,Diseased,26
15.404973,0.4104655,Diseased,26
14.370794,0.93715376,Diseased,26
4.2423115,11.972084,Diseased,54
15.307767,0.04415311,Diseased,26
3.3498688,11.444656,Diseased,48
3.6812992,14.428635,Diseased,26
13.815319,1.4156797,Diseased,26
12.806679,-0.7907711,Diseased,26
12.713452,0.656697,Diseased,26
15.029633,-0.3774055,Diseased,26
14.828804,-1.3351225,Diseased,26
14.29559,0.031532455,Diseased,26
14.659222,2.129594,Diseased,26
14.315763,-0.90805244,Diseased,26
-0.5311971,17.535841,Diseased,26
3.754556,9.461331,Diseased,52
-0.54609156,14.914484,Diseased,26
15.057269,0.6422807,Diseased,26
12.892871,-0.0868398,Diseased,26
12.79897,1.6346554,Diseased,26
-4.0188723,14.759023,Diseased,26
12.822128,0.6091108,Diseased,26
14.368598,-0.085196346,Diseased,26
-3.5415127,12.298848,Diseased,26
12.855828,0.55853593,Diseased,26
13.205016,-0.11689703,Diseased,26
6.133283,14.985071,Diseased,26
-0.16413246,17.624407,Diseased,26
-0.2828998,16.72122,Diseased,26
12.590402,0.64154726,Diseased,26
-2.7127678,11.979195,Diseased,26
3.9913094,18.093262,Control,81
15.099869,0.36541408,Diseased,26
3.091289,14.368032,Diseased,26
13.807167,1.2630796,Diseased,26
11.611924,0.22531486,Diseased,26
-4.4139156,9.406789,Diseased,26
-1.1913863,-0.16069467,Diseased,26
-0.059231553,15.570949,Diseased,26
5.85871,16.105194,Control,81
-7.7099476,-1.9598358,Diseased,26
14.426967,-2.0599012,Diseased,26
-4.985282,6.6017323,Control,81
0.020246016,15.304468,Diseased,26
3.911024,19.744331,Diseased,26
5.420219,15.879423,Diseased,26
12.091958,-0.49030715,Diseased,26
14.421701,-0.90932566,Diseased,26
12.926983,2.225876,Diseased,26
-3.2432683,12.678542,Diseased,26
12.876453,1.122991,Diseased,26
12.642706,1.8538169,Diseased,26
-4.828793,13.427519,Diseased,26
-3.1932352,10.579504,Diseased,26
13.7813,-1.2061508,Diseased,26
3.9788291,18.23073,Control,81
4.2021494,16.269386,Diseased,26
13.227385,1.8967589,Diseased,26
14.236489,2.5213656,Diseased,26
13.744964,-1.64751,Diseased,26
12.321955,0.16882418,Diseased,26
13.853137,-1.8471563,Diseased,26
13.307342,-0.9810789,Diseased,26
15.229927,-0.36577716,Diseased,26
4.1174393,15.640933,Control,81
12.901578,-1.8222694,Diseased,26
2.161962,16.091045,Diseased,26
12.764056,1.2984651,Diseased,26
12.429263,1.0565624,Diseased,26
14.346817,1.4700934,Diseased,26
14.002386,-2.2962456,Diseased,26
-1.7125285,18.98982,Diseased,26
-1.528903,12.156016,Diseased,26
13.055848,-0.039616946,Diseased,26
15.409216,-1.6492852,Diseased,26
11.67952,0.4396525,Diseased,26
-4.3521776,9.634756,Diseased,26
13.37533,-0.028954385,Diseased,26
12.512129,-0.588129,Diseased,26
12.844441,-0.036990806,Diseased,26
15.091749,16.658937,Diseased,26
13.885414,0.92059463,Diseased,26
-4.455071,9.101784,Diseased,26
3.2284307,17.33313,Diseased,26
13.861391,1.0333115,Diseased,26
-4.777302,11.556991,Diseased,26
1.9610083,17.823502,Diseased,26
-5.0320435,11.490077,Diseased,26
-2.6500845,0.7657333,Diseased,26
0.1322027,15.421208,Diseased,26
12.457713,0.07427857,Diseased,26
14.894403,-0.7144064,Diseased,26
0.08399379,17.33954,Diseased,26
2.8282273,16.67234,Diseased,26
0.86142516,19.653307,Diseased,26
13.055855,0.9369893,Diseased,26
-4.9108677,14.293702,Diseased,26
14.27217,-0.32437354,Diseased,26
15.05305,-1.2516891,Diseased,26
0.69667083,18.056221,Diseased,26
12.202328,-1.8875158,Diseased,26
12.986674,1.68788,Diseased,26
-0.37470326,17.298903,Diseased,26
13.105488,-0.25373545,Diseased,26
-4.971665,3.1173868,Diseased,26
11.931986,0.6057868,Diseased,26
3.3097527,11.181118,Diseased,20
13.743441,0.4848367,Diseased,26
-3.7659512,10.063794,Diseased,26
13.990318,1.1580341,Diseased,26
12.76942,-1.7750456,Diseased,26
12.286967,-0.7818061,Diseased,26
0.8740582,16.455647,Diseased,26
3.1439793,8.058835,Diseased,26
14.303407,0.123390205,Diseased,26
13.129492,-1.9690986,Diseased,26
11.785176,-1.2611271,Diseased,26
14.942138,0.3998924,Diseased,26
-3.7040255,15.294578,Diseased,26
-5.2044134,5.8608456,Control,81
12.410112,1.0864956,Diseased,26
15.934191,-1.1604586,Diseased,26
-1.1641786,15.69839,Diseased,26
12.752346,0.3871098,Diseased,26
12.529579,-0.46389973,Diseased,26
14.055601,-0.31805047,Diseased,26
14.918464,0.26917005,Diseased,26
11.415205,0.05203434,Diseased,26
13.328135,-0.29022935,Diseased,26
11.773991,-1.3397523,Diseased,26
-6.0021815,1.8680725,Diseased,26
14.067938,0.4629542,Diseased,26
14.714558,0.45400324,Diseased,26
-0.58663386,17.657372,Diseased,26
15.296444,-1.0863469,Diseased,26
14.400915,0.67248356,Diseased,26
5.3609743,15.760899,Diseased,26
15.527618,0.124451555,Diseased,26
2.1277156,19.044752,Diseased,26
13.878061,1.7662119,Diseased,26
14.754551,-0.46265516,Diseased,26
15.355912,-1.6448509,Diseased,26
14.836435,-0.78394145,Diseased,26
13.299102,1.1058388,Diseased,26
12.54263,1.4726397,Diseased,26
11.600932,1.0119805,Diseased,26
15.027038,0.62935156,Diseased,26
-4.8608484,1.7764571,Diseased,26
14.75165,1.8448659,Diseased,26
3.847732,18.375683,Control,81
3.285564,8.152496,Diseased,26
13.399416,-2.7037742,Diseased,26
13.219795,0.9585793,Diseased,26
13.270185,0.47037396,Diseased,26
14.976845,-0.6786169,Diseased,26
11.703364,19.921835,Diseased,26
-2.0874696,12.579203,Diseased,26
13.205917,0.35735276,Diseased,26
5.0916696,14.625933,Diseased,26
-3.6908493,10.710777,Diseased,26
3.8861852,9.575524,Diseased,52
-5.489045,11.117248,Diseased,26
13.771271,0.9344586,Diseased,26
12.088542,0.10011877,Diseased,26
14.032089,-0.93759495,Diseased,26
12.942008,1.7256296,Diseased,26
12.761081,-1.0536144,Diseased,26
14.871679,1.2323899,Diseased,26
-2.4845011,10.758336,Diseased,26
15.482674,-1.3585588,Diseased,26
15.344301,-0.95299596,Diseased,26
14.070644,0.79719806,Diseased,26
14.900691,0.98266906,Diseased,26
-3.9276855,14.2437315,Diseased,26
3.0847342,11.011044,Diseased,26
-3.2774868,11.973366,Diseased,26
-1.4672332,20.57615,Diseased,26
13.9032,-0.41024485,Diseased,26
11.462087,0.7219399,Diseased,26
-0.50063294,14.668075,Diseased,26
1.9404736,17.494806,Diseased,26
13.352755,1.6717849,Diseased,26
-7.70996,-1.9598347,Diseased,26
4.709578,17.2721,Control,81
13.676608,-0.96140176,Diseased,26
14.7736225,-1.1332457,Diseased,26
5.357054,16.333372,Diseased,26
14.078838,-0.13642107,Diseased,26
12.496079,0.18537854,Diseased,26
12.785407,0.41934523,Diseased,26
12.268374,-0.43062642,Diseased,26
3.9567494,9.734672,Diseased,52
11.702337,19.923777,Diseased,26
12.1075735,0.9119927,Diseased,26
-3.995007,12.036734,Diseased,26
13.608805,1.9769802,Diseased,26
12.588318,-1.5707549,Diseased,26
11.767182,-1.247911,Diseased,26
13.071186,-0.46890375,Diseased,26
5.291466,15.377534,Diseased,26
15.734093,-0.3928925,Diseased,26
1.6006439,17.682472,Control,81
6.0649486,14.950676,Control,81
12.950647,1.6725371,Diseased,26
3.2389889,8.105436,Diseased,26
12.483617,0.13617867,Diseased,26
14.340417,0.16930191,Diseased,26
3.7403488,17.452625,Diseased,26
-4.953072,19.462584,Diseased,26
