x,y,phenotype,dataset
15.025379,-15.580225,Diseased,26
-84.05166,8.998988,Diseased,26
15.025379,-15.580225,Diseased,26
-54.275696,6.2268825,Diseased,26
-26.884743,28.216572,Diseased,26
15.025379,-15.580225,Diseased,26
-7.4793544,95.13352,Control,81
32.151318,47.333607,Diseased,26
-39.853226,-7.1408763,Diseased,26
-39.7466,-20.43827,Diseased,26
-46.260864,10.383963,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-41.100002,54.014805,Diseased,26
15.025379,-15.580225,Diseased,26
-3.734049,45.41256,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-45.094715,-30.320704,Diseased,26
15.025379,-15.580225,Diseased,26
-45.700455,-42.335587,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
2.6284835,70.675865,Diseased,26
-58.90079,-32.147686,Diseased,26
-51.339325,14.692173,Diseased,26
15.025379,-15.580225,Diseased,26
-55.106983,-30.698513,Diseased,26
15.025379,-15.580225,Diseased,26
26.928162,38.979416,Diseased,26
-49.26931,8.893626,Diseased,26
-45.20506,-2.3134813,Control,81
68.59104,30.198154,Diseased,48
15.025379,-15.580225,Diseased,26
23.093445,38.254765,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
10.607299,50.421516,Diseased,26
40.03163,68.007545,Diseased,26
-11.276297,55.29062,Diseased,26
-46.314247,-38.232155,Diseased,26
47.186104,66.65429,Diseased,26
37.205307,49.822205,Diseased,26
-33.32017,3.7892938,Diseased,26
15.025379,-15.580225,Diseased,26
-57.258648,-15.49496,Diseased,26
-53.5797,-39.121914,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-44.889336,53.70706,Diseased,26
5.228969,73.24683,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-67.96681,22.885117,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-46.916393,-6.5817304,Control,81
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
36.768646,62.952026,Diseased,26
68.891205,28.678867,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-3.1743035,43.053333,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-29.622086,25.82713,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-25.613731,45.13324,Diseased,26
15.025379,-15.580225,Diseased,26
-63.75242,17.86961,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-42.852383,50.014835,Diseased,26
-75.52563,12.940196,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-51.89411,8.239919,Diseased,26
15.025379,-15.580225,Diseased,26
-11.594201,44.16597,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-35.491486,19.028553,Diseased,26
15.025379,-15.580225,Diseased,26
-59.027275,7.414235,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-73.30329,15.62329,Diseased,26
-8.351486,44.286633,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
45.300266,70.12041,Diseased,26
52.128685,35.77299,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-34.4837,39.38493,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
52.973415,38.683735,Diseased,26
15.025379,-15.580225,Diseased,26
-72.395676,-11.569156,Diseased,26
16.57231,67.51006,Diseased,52
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-72.92825,4.9610577,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-47.035126,-36.360302,Diseased,26
15.025379,-15.580225,Diseased,26
-25.101555,18.879353,Diseased,26
-60.106102,-28.497187,Control,81
-38.260265,49.157925,Diseased,26
-14.809165,48.620995,Control,81
54.622574,28.510624,Diseased,20
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-46.019787,59.348976,Diseased,26
15.025379,-15.580225,Diseased,26
-3.135202,49.70208,Diseased,26
15.025379,-15.580225,Diseased,26
-1.7978082,72.91338,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
2.0104625,70.431854,Diseased,26
-39.338318,14.252403,Diseased,26
-70.88339,19.183073,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.398614,67.0281,Diseased,54
15.025379,-15.580225,Diseased,26
44.637794,31.063147,Diseased,48
-56.63707,14.803294,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-46.50657,-26.9605,Diseased,26
61.50576,24.557278,Diseased,52
-36.17156,14.488887,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-7.7315817,31.181204,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-25.079575,45.45778,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-76.76443,26.600986,Diseased,26
-48.781734,-24.828686,Diseased,26
-44.041862,-18.908407,Diseased,26
15.025379,-15.580225,Diseased,26
-31.243269,52.07218,Diseased,26
-77.956314,-6.4833403,Control,81
15.025379,-15.580225,Diseased,26
-52.34635,14.42253,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-18.969975,73.025475,Diseased,26
44.1724,68.3165,Diseased,26
-40.296837,-8.3836565,Diseased,26
-79.591576,15.302224,Control,81
-24.165028,49.718235,Diseased,26
15.025379,-15.580225,Diseased,26
-4.225054,94.72935,Control,81
-40.333256,-5.5811872,Diseased,26
-81.67952,-15.573024,Diseased,26
-74.250534,15.39529,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-25.613731,45.13324,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-7.1413584,49.535297,Diseased,26
-33.12045,61.908447,Diseased,26
15.025379,-15.580225,Diseased,26
-78.088326,-7.734126,Control,81
-68.40036,5.247303,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
