,Actb,Aldoa,Anxa2,Btg1,Calm1,Ccl3,Ccl4,Ccl5,Cd14,Csde1,Cxcl2,Cyb5a,Eef1a1,Esd,Fth1,Ftl1,Gapdh,Hspa8,Lyz2,Naca,Npm1,Pkm,Ppia,Prdx1,Ptges3,Ran,Rpl13,Rpl18a,Rpl4,Rpl7,Rpl9,Rps15a,Rps19,Rps3,Rpsa,Sdc4,Serf2,Slc25a5,Sod1,Spp1,Sqstm1,Ubb,Ubc,Zfp280d,mt-Atp6,mt-Co1,mt-Co2,mt-Co3,mt-Cytb,mt-Nd1
GAPDH,31.50281096760909,32.1164809257629,32.06644584693621,32.79015878278819,32.30504066166123,31.312168505258214,32.61446680276168,31.478360508033848,31.071282896714624,32.235466595635316,32.52995146705585,32.10326024693038,33.25891301930221,30.914902669879105,32.58655368089452,32.81964024568685,32.28652969185732,30.961466247887685,33.08393746429726,31.811215235072424,30.846504210901504,32.45084239164467,32.64781617231845,32.69418267373091,32.14651128707116,32.186675517540955,30.442535703579548,32.6750639248174,31.07621728022535,32.02960685308212,31.39033812581989,32.00762385815494,32.58568872820497,32.06749949224668,31.817776951646035,32.51294606560619,31.81846374200328,31.935589436394054,30.632884126430156,32.97300255378539,31.91751306623113,32.2151877199581,33.20741022012617,32.47432530568333,32.442661199635076,32.07710425192951,30.647455980223295,31.783897965862163,32.310215753550544,31.135915978709463
IKBKB,32.273992165474006,31.96464739176111,31.760333735783966,33.65039674889594,31.269359513550697,31.195280385069644,31.713978341029843,31.510585873957478,31.72893323375175,32.14547170634054,31.867308561311766,31.474826174492666,32.78366566748482,32.806178574908,31.466756869092602,32.205062414969525,33.192789458155076,31.56899872118445,33.22422043828368,31.251013468491035,32.34193261976096,32.811537601559046,31.65353990685882,32.091723781283356,31.48476757494643,33.784587525548666,32.35645094444801,32.09410381698431,32.71024692419323,33.14433374440487,31.04001624888587,31.378924914637324,30.1231602897974,32.85727482212552,31.317192798127433,32.98631992312171,32.18203571027263,30.305241917339764,32.426329692587395,34.0289644088288,31.019931651982624,33.15215073614957,31.31158982200634,31.870093651483607,31.269060303639023,32.41480123345694,32.266049858326895,32.66192075848439,32.28825705709735,31.540957391365318
IKBKG,32.03612728858453,32.59434583106059,32.162598458118,31.403810074035622,31.174094474671247,30.331078895971157,30.888912715544713,31.91581446364533,31.403694242263654,32.231449193670024,32.14854885027357,31.962556952196564,31.980395317434112,30.24611578264409,32.46029159939465,31.358304361790854,32.27565560371875,31.21037289602198,32.12750447763529,30.89482403944838,31.537985098793396,31.257510148275294,31.567508795941073,31.587397913610314,31.08024137247967,32.443028012854846,31.74046819673682,32.27612547155117,30.892945841096534,31.73525244002216,32.021195979593834,30.432532789251464,32.39892817820195,32.851435840987016,31.346501370083015,31.99579876120836,32.07894206043907,31.79867439983813,32.50639006106199,32.14353041927766,31.29983821646372,32.78107209324687,32.020802635888906,32.256030305260275,31.418736248181897,31.64365095414519,31.97172794576607,30.593104004395617,32.06713856971782,32.32699587376453
NFKB1,32.23064255471676,32.565561221469885,31.79996753628821,31.934965319437847,32.35604701064675,31.509148149709308,31.27825944056328,31.640064296231614,31.703769430359497,31.919026722547734,32.43532931199335,32.676618299939015,32.12128061166361,31.476970817782448,32.6759973821605,30.510826208002587,32.71814033549203,31.824478218183092,33.6011709511405,31.510473094402165,31.108178031928016,33.43208396849653,33.25443357732416,33.168461452786886,31.152926352713017,31.31429961862894,31.713570558252783,32.17238523003319,32.56506593618864,32.903721145995306,30.48315925884773,31.951143117528126,32.69484558531497,32.07492000073253,31.692386771812746,31.914220238359544,31.787115476269992,33.412919911232684,32.24874772529141,33.14921064383555,31.88014229999688,31.39538541691545,31.823170046767363,33.02705350417285,32.44798858327536,32.421583382683686,32.5275115609606,31.580891346708242,33.18793709641926,31.964473450934303
RELA,32.69434750449962,32.969235251023385,32.328242566447564,33.31961461378159,32.25906581175465,31.338696195020933,31.66573069788885,31.67954636083393,32.75662681942941,31.314176819445347,32.61868202661064,32.76646318052076,33.22561338730955,30.97211007818686,31.40739129008886,31.347021724506625,32.8292891718382,31.95622153086738,33.82511194299066,31.39027254186976,31.0335860687722,32.22977861832306,31.13825883437108,32.86454451249366,31.701619359326532,32.5361359926557,32.48536138639326,33.67965388752348,31.875317404418816,31.6250534196639,31.995784096632523,32.54130713297828,33.13419998038684,33.115266952073036,32.48608049623641,32.95491007012464,32.83430523577301,31.606932224009253,32.129701126377775,32.154883837725365,31.70908409991006,31.983016597359605,30.50228058238791,32.25863565030362,33.82509987776492,32.74378902644906,33.167933412409766,33.95730374581568,32.69169948420283,32.07923786867154
TNFAIP3,32.2895907825608,32.603991361451115,32.219262617109884,33.00937707014112,33.04588785889403,32.7665923568248,33.3382178653603,32.277668275996554,32.522244860592025,31.945211681316298,31.270331894302004,32.67724324104167,30.89877457447902,31.83818564038058,33.020543622030196,32.69303549434786,33.16820757958273,32.09064381547228,33.180385767711215,31.917392526994945,31.45756986203931,32.162765348221065,31.198511001629686,32.92850188236918,32.42541872950351,31.970994744386495,31.545480934450104,33.104882497236225,33.22127876051054,31.282778450585518,32.66666864911671,31.98363357972523,30.84528773688833,33.47333391744476,32.88507376753734,31.77826514562185,33.30943507607597,31.307030449422342,33.24322413161338,32.073506849521706,31.076200172877776,33.16208528132334,32.31228808436028,32.961183978420436,30.892965606511805,32.3656928519808,32.95586627299724,31.214956413960095,31.583342677532382,31.681718560760817
TRADD,31.506872558818298,32.53331060876471,31.543499456485396,34.04242553097426,31.691957213275646,30.70313820671572,31.546591760339115,31.838403496913394,32.36978554281449,31.47027710839298,32.23608190592751,32.530568432413546,31.749840520860833,29.974151221734534,32.666572944215346,31.546117118162666,31.984139829134516,32.07117715511153,32.71467580305602,30.833535350080634,30.923159674557617,31.602831472144832,31.08388079490359,32.04176827748455,31.817056700151962,30.201969962236355,30.75518271372164,31.719416332486322,33.33089799829453,32.40269378420232,31.541539750727008,30.859507316341322,31.640082478441517,31.625469414052407,31.196064368054195,32.0172363357687,32.11779360114027,32.09104090572908,32.302425147439834,32.50640547204901,32.1423126766038,31.70880140617056,30.807284630038794,33.497366893225404,31.018115060494107,32.52703441414242,33.35073566677944,30.976124541631716,30.925852784682046,32.05043852160235
TRAF2,32.50657751934531,31.296534129645753,31.788590568823864,32.35660162847142,33.34869574457071,31.486647758004793,31.891410842504595,31.568457667455846,32.37228106442385,31.85032224649681,33.22832574917829,31.94683839508323,32.83736914211827,30.217820002392514,31.61913154608181,32.589750495752675,32.654198543196586,31.386171018847893,32.43249108503268,31.583468104552264,31.429189956778583,32.03679452732341,32.6356788561524,32.04214184798104,30.880220348219634,32.05089386825103,31.672354574675058,32.08477312411775,31.65824239770237,32.44263529940556,31.606126061608258,30.28074723066792,33.411504828016604,33.365925853775124,32.698920446084536,31.47653819985663,31.90046456881527,32.83172844464013,32.31434681865688,31.801126988739547,32.899856305550905,32.680951218998764,31.767806166716923,30.819816166913668,33.41755181787879,31.290333684282114,31.9336648842551,32.24784291216272,31.76748407053673,31.9114667191232
TRAF5,30.90537507250486,32.98043206772843,31.46838481228347,31.66423842508938,30.899233515505586,29.810208375522613,31.01252270665642,31.147406771431292,31.784160815848203,31.233086570546007,31.806056633047916,31.869230304635018,31.93340675872804,31.18884022378672,31.610514621843777,31.763089145677302,31.83758070631156,31.66867968628743,32.73312050498269,30.844811652808765,30.648421333245107,31.488180899828393,31.092224031489305,32.49918856520704,30.92145099273937,29.80223172883092,31.288730735534724,32.12860887778952,29.954885280562003,32.33451035929201,31.422878324188748,30.84169099620194,30.65640435850365,30.955282926493535,30.327073249334344,31.4445833913846,31.495735237282783,31.594257444719595,31.616478729249884,31.772926580474763,30.35076957343086,30.233761951185315,30.393496294310392,30.775154821215178,32.06951293503396,29.860630289861202,32.019927739916646,31.402368791398576,30.4373957625756,32.053816664613365
