space,euclidean_mean,euclidean_median,euclidean_min,euclidean_std,cosine_sim_mean,cosine_sim_median,manhattan_mean,manhattan_median,mahalanobis_mean,hausdorff_symmetric,hausdorff_forward,hausdorff_backward,knn_overlap_mean,knn_overlap_std,silhouette_score,mannwhitney_u,mannwhitney_p,ks_statistic,ks_p,permutation_p,dist_to_others_mean,n_select,n_important
Original_512D,31.966721758058576,31.971361345076282,29.80223172883092,0.8060805034740336,0.004648390752755986,0.004133852004464256,590.6816406885149,590.254578860011,31.90349626621004,32.12750447763529,30.84528773688833,32.12750447763529,0.0,0.0,-0.0018916231347247958,83993402.0,0.029533533020730387,0.055111985241427686,0.1259488308114619,0.09,32.0421295911997,9,50
PCA,1.80207298099165,1.770174249065302,0.040741390959603815,0.8329860629939818,-0.021679801874392782,-0.029673694368752446,2.3295952842239704,2.2732302816584706,1.6317299714162856,1.9253944552007194,0.7122990742482572,1.9253944552007194,0.0,0.0,0.05273692309856415,84552653.0,0.04888500323561992,0.08731667403578847,0.0019893114841509287,0.082,1.9002425554688664,9,50
TSNE,35.643108951328045,33.25179416507768,2.29954074730634,16.58813776172843,-0.05385319723125542,-0.07002281740478478,45.905060317913694,42.82136344909668,1.7801566001811844,37.53247014307512,11.453822457333084,37.53247014307512,0.0,0.0,0.012499639764428139,90680616.0,0.8120881420109209,0.06464630756173545,0.0448465198266198,0.672,35.14677141214229,9,50
UMAP,1.9416262907810262,1.8454998183109077,0.026607544114561846,0.930332213937387,0.9279670975457206,0.9652517977659816,2.4812396360023152,2.3530586510896683,1.607527010216102,1.999364865165483,0.662418390013745,1.999364865165483,0.011111111111111112,0.03142696805273545,-0.07464147359132767,84520950.0,0.04756761700985592,0.0555178459802711,0.12093791125331543,0.136,2.0127553135659273,9,50
