,Actb,Aldoa,Anxa2,Btg1,Calm1,Ccl3,Ccl4,Ccl5,Cd14,Csde1,Cxcl2,Cyb5a,Eef1a1,Esd,Fth1,Ftl1,Gapdh,Hspa8,Lyz2,Naca,Npm1,Pkm,Ppia,Prdx1,Ptges3,Ran,Rpl13,Rpl18a,Rpl4,Rpl7,Rpl9,Rps15a,Rps19,Rps3,Rpsa,Sdc4,Serf2,Slc25a5,Sod1,Spp1,Sqstm1,Ubb,Ubc,Zfp280d,mt-Atp6,mt-Co1,mt-Co2,mt-Co3,mt-Cytb,mt-Nd1
GAPDH,46.0286804716662,32.40003599638235,70.9663323472324,21.264943708721656,18.64878802394836,50.78120414010766,70.41971386588587,34.81226357041937,51.08757308930741,29.84666959490034,13.31626133597897,54.70864721613348,39.538060076851565,38.68115346429634,10.5849770623465,40.378502387603845,51.205770473167796,23.13339453659606,63.811792645346735,25.312302044865213,22.2849341397148,28.06099035521722,30.471509994141243,47.26812495736106,45.93322338254415,29.955319045397903,24.749473632447057,22.818181896673998,42.988047924926036,35.536358963045316,23.764226833192286,29.220505436868905,35.18496802137248,75.4736739199388,56.6424194986398,14.536402244750413,40.13654651728222,42.31862283919933,50.18725555815035,40.096224684927485,50.68660639911442,40.68539538099664,36.652584279652096,72.15252032766101,52.8779017480862,16.64311253479108,63.04254852911242,43.05666882645715,62.30474183269866,65.14840627858786
IKBKB,35.50814302705108,24.1682900564573,62.411773250822215,25.310702959260023,14.535584790661096,40.28953456822508,59.922249762871715,26.84089951925366,41.78170915357841,24.08205543716403,5.007261632241527,45.67534335970695,31.367700337110065,28.963106608754813,15.971138913383923,30.802448689103997,43.608119109745196,16.913483397580723,54.31807473877708,19.009211037236664,12.981509385743859,18.734284282888947,19.950915933036256,39.63055544135753,35.420297795858374,20.6899516559291,15.973335901395878,26.452540549765097,33.26907759754028,25.89600351908589,25.13050867468336,18.741062350128978,26.935105592839076,66.49691063832714,50.488813648537125,4.381089823343874,33.78661755307376,33.10261105717444,39.89429968798289,37.09783487082141,40.26415251575007,32.68965707522668,27.18877764447899,62.591111590653405,43.57555037606013,11.7990086202846,52.73778478393802,41.29668098715503,51.78571379127064,55.45545199276652
IKBKG,6.630640710796812,29.478568113220653,41.13868396359374,60.62232335412865,42.65495623475223,2.3743702956314294,17.975438645381946,29.885417193249182,20.62357480608945,40.33804451233129,40.08400679003067,24.106278568909495,28.246153473975006,19.381296156547002,55.407053820120915,19.551261465019373,33.38293320767016,39.44217892522994,24.28713044982905,37.27657210866271,32.199420260385516,29.23679431039003,22.07575498442484,35.188996144811256,6.583836669101269,28.379846684421924,31.553296764092334,60.85111094982955,20.241453896147785,21.672601482397713,56.48790534491271,23.66379998095876,28.590101959537037,37.53247014307512,44.34530819833496,38.09483122306873,36.98422278060874,21.516769715979393,8.066832221001645,52.855076964067436,4.841811449777473,31.955455118143966,22.014592813285255,32.98235894370771,21.060867981582266,41.86160481288587,13.623144198089,56.27965621449568,9.840931733982375,26.538826436075468
NFKB1,49.62589424350325,25.272046909000867,89.79382026729111,63.99034249512301,25.797484852827946,50.30919253271131,64.82989398168385,23.673512697794845,35.392644692087245,62.160910905732166,35.49410235899088,35.3000655678188,24.425297557866344,33.93498188763313,53.38067825387549,33.26746812849773,24.521571470771775,55.503975768342855,44.892642376780785,22.80770209650199,32.40530091000128,51.426368561366424,42.24896349162995,72.59216873918378,48.570360168984934,52.90541137828605,29.708346631826036,65.42285253861606,59.593388746566355,32.74474366853005,65.10966645141482,43.97001747444642,24.906929689471006,49.82495116765451,20.7661280971495,37.89666075760442,15.719580618759533,31.185455068948947,45.21018853532876,76.56402161451629,48.06036323263085,65.75972920355181,31.685918250817995,84.58755634261352,36.31390395780913,28.507859452158755,53.8900006213832,4.008811145156022,60.361718426170704,77.48232969479623
RELA,24.821772056528495,28.068554890564627,45.54763340278451,29.31338525696543,27.7138138100264,30.33223174524937,48.8933968183426,30.737386518236864,39.22701878854794,12.170490968823898,18.820297221833883,43.7203876809096,33.85032952417902,26.600810252443505,25.24026473921228,28.714794320095077,45.9108111026765,8.322441945233573,50.01753695408126,28.231595627883742,18.59719888742847,2.29954074730634,12.664376863127869,23.19668614606302,25.280644928967043,4.0453193253778235,21.416679730298373,29.530613663364676,17.23668996101863,24.629773994365333,25.304879978199555,10.046492909123579,30.101879830350253,63.44140853993232,55.27942564370306,15.64600635946487,39.87667471370715,32.0453545427047,32.36876460807633,27.171773268940182,31.405080275276635,16.130169752353595,26.35665352132928,46.22759646681633,40.851508654625185,25.22738065173897,44.20475296400686,53.01358499937095,40.29474518699185,39.272220644269474
TNFAIP3,10.763519384106809,27.446546343936443,37.302982088035165,44.53281648344415,34.9616890835476,16.190376394512793,33.68173526016801,29.30490924621077,30.12946209528296,23.704022157848197,29.02592309241441,34.58420560744925,30.34290654023252,20.582575003321033,40.4445964436589,22.26091163996932,40.24844549043927,23.11364511465805,38.46347789228989,32.09946299092402,23.727532817933042,13.130336173693436,11.443310254559618,22.10201230804485,11.636503225823605,11.965762259040236,24.831833060017015,44.63106674902608,7.011674727996907,20.49634963889983,40.06564366127309,11.156208740063896,28.189883654849414,52.12093752652064,50.937839501660946,26.276711742487564,38.49956032339776,25.669393765980274,19.915886820148764,36.73404202024184,17.977217459102793,16.923144034404263,21.94566668455115,34.36775439591352,31.39221915361107,33.23612020165763,30.127305480766864,55.62392569682724,25.05364894779415,27.03790624567035
TRADD,4.797700524569717,29.471050316890995,36.490467121053875,53.85795176283042,40.36022452942577,8.233184178250333,24.337563955503455,30.58536253025089,25.781974509340195,32.7830696985006,36.106768805534806,29.83284072498696,30.153868593368053,20.278447170368135,49.43829901823752,21.23450213738106,37.684068871503946,32.45659238858741,31.58333209965278,36.05662102917222,29.26687402437137,22.412143420671075,17.598230717345633,27.59112925615206,6.018000200070109,21.308860354242668,29.41965407770332,53.971674247774104,12.407471033890298,21.591206049953065,49.40546972556818,18.485184901354057,29.319492164497316,45.04589142870032,48.70850745930263,33.706509026877086,38.899942971035586,24.07641720938941,13.615310671476417,45.025022961755745,10.76848613263983,24.111042968199268,22.508425976854266,30.436198793200546,26.62978349909002,39.103087326334716,21.457711769923435,57.51207832979991,15.711433545063,23.30240899270328
TRAF2,34.25665473148581,59.352147793410055,24.16442685319656,77.73883728891714,70.90312342428616,32.62187160797532,24.02810802611908,60.00756002042817,49.41623870728691,54.0625554573446,66.04882482896268,51.80037804715326,58.49709452350303,49.450301584898455,76.0918230329205,49.77753778508342,62.416515742009175,57.0586122990633,47.35426944585492,66.49606710790354,59.75636778044203,48.835546697448066,47.75955335374034,38.614743073118284,35.081037795289255,47.096003350616435,59.97206639876645,77.34400371530141,33.90802054560151,51.41829057552781,72.0698238662594,48.110705379083434,58.71114127535449,56.91549192207307,72.97507269147958,63.3806519834387,67.2147702523933,51.738086547809004,37.83958511408729,60.2886448889607,34.874465329712,41.10109098718098,51.997735839928744,11.453822457333084,49.29109725173943,69.57392535556636,33.29167010917677,86.53378257461314,23.595609877766215,13.791494990037352
TRAF5,15.659899950847104,36.551611703596805,28.0882094011775,48.12698227181555,43.90420241420814,19.707166830123892,32.68166938296987,38.295758441234085,36.798878684853314,25.029007269460312,37.289693985632304,41.01837134017222,38.96929182345377,29.017925860589195,45.8716335811621,30.47355124415567,48.01832835218341,26.99376659159994,43.0647934835151,41.29796876843702,32.7411141902199,18.677138617520882,20.552604739563254,16.18820044912192,16.87491628495111,16.88910368913607,34.00113375479803,47.91056133345504,3.6830645505279502,29.34101224707482,42.84827876218175,19.89341859670672,37.14046886951202,56.47769175269114,58.92408171254898,34.35094894818996,47.35304377704494,33.72144393256381,25.022287757743495,35.1324565051909,22.25898408679923,13.792794770902605,30.67759585026829,25.806114175300397,37.794763176835986,42.0430950065716,32.23983382656709,64.79083771062834,24.421224686676176,18.60778188108307
