,Actb,Aldoa,Anxa2,Btg1,Calm1,Ccl3,Ccl4,Ccl5,Cd14,Csde1,Cxcl2,Cyb5a,Eef1a1,Esd,Fth1,Ftl1,Gapdh,Hspa8,Lyz2,Naca,Npm1,Pkm,Ppia,Prdx1,Ptges3,Ran,Rpl13,Rpl18a,Rpl4,Rpl7,Rpl9,Rps15a,Rps19,Rps3,Rpsa,Sdc4,Serf2,Slc25a5,Sod1,Spp1,Sqstm1,Ubb,Ubc,Zfp280d,mt-Atp6,mt-Co1,mt-Co2,mt-Co3,mt-Cytb,mt-Nd1
GAPDH,1.3903672263313758,1.9560725749858403,1.3754556751051172,1.0386626292046677,0.20663032525877853,1.4467507918773277,2.3526873939076625,1.2896595386017133,0.8417858635322891,1.338537265661996,1.1527413520264436,0.32117435831212043,1.5495700276134805,1.8687014730730962,0.4339956499217396,0.8236378821981767,1.1431199690068943,1.5359782606757326,1.629504947987027,2.328008587907152,2.0971996640669226,0.9595369342080425,1.2197793218176467,1.2769749857179535,1.7639543862634899,2.2143610941525034,0.9736926204076967,2.077778419621013,2.873434810245559,0.8405300280560315,0.27076890280648325,1.3387787844006351,1.8027905702011873,1.0459394807686564,0.3405631737185526,1.7667364343755467,1.5047490042618925,1.2030784021464307,2.178944518263124,2.2755479585851823,0.27578375768800023,0.6221584200142231,1.2149933759433549,2.33754287386081,2.077719852370295,2.248479419815658,1.3519290044384042,1.3576663144612438,1.5167154521583361,0.5586153784283174
IKBKB,1.6496610194757366,2.3817108716427664,1.543446420736668,0.7273381196902371,0.6219323827746631,1.0296339133478247,2.0813217104790747,1.6528051785290159,0.6292424599270386,0.9446654547315908,0.7785446145479419,0.14423606082876111,1.1219183847914167,1.9321431653434833,0.8191466187400834,1.1502888728139398,1.2725934397834944,1.8172211409613015,1.8033505443462272,2.3176133451062606,2.1612362843640693,1.2867373695222761,0.8795186073547925,1.1387434922442206,2.0725174454586024,2.0141425123853156,0.6276346366622304,1.6717692462694083,2.458126449877064,1.1470808255375966,0.5868610533190253,0.9229761944915965,1.3751339737373809,0.7521009338530059,0.3978808621259748,2.0784988907219355,1.4141248576937886,0.8123137029964911,2.262284626127851,2.413274264400574,0.685544589832085,1.048096030640558,1.213552480041262,2.0402231340208083,2.2678271281584115,1.9253944552007194,1.5407676455791115,1.5839784194977178,1.7507934243830998,0.15699118818858432
IKBKG,1.6294053638298345,3.463651972014378,1.2649224571526592,1.450428442116528,2.1344412715907533,1.9027333803033664,0.9812926048362894,2.1387866976153513,1.4226872806442097,1.6906942420257125,1.6142645404242582,2.1467897002524823,2.1713931266928865,0.7784690282879354,2.05704008334083,1.8707971756076252,1.2316580062648341,1.7619743282208504,1.268625258246132,0.5094235883087986,0.8011614798750741,1.8790660224226796,1.4501453691374346,0.9082272758072342,1.9935007343833522,0.5374132481324632,1.58415561509572,2.9205844109008803,2.5262167561867144,1.8022765015844109,1.9486347967340618,2.372124400481045,2.346116077870991,2.666991148402344,1.8096733529163063,2.0141629090331787,0.6410057546777391,1.6866954638572667,0.9228895703538418,1.2477878430918439,2.348805573303097,2.478964102860343,0.9596908368443253,1.139675773411157,1.4482183792886554,3.5623917888448737,1.3437997318873702,1.4874444723853297,3.652664681893021,2.1324346509183028
NFKB1,0.9396949473965422,2.8151986047406266,0.6163135548328176,1.5430329398107618,1.771450570460472,2.1454102120295953,1.6578306103086837,1.474520110647915,1.3811841481069214,1.9168127082974338,1.7688979276701324,1.962954414546175,2.407857350712517,0.040741390959603815,1.6248683669914459,1.3285487196353307,0.7265924684652854,1.0442107127480598,0.5391724320869948,0.5523501013289055,0.2557915598214551,1.294134338562556,1.634492569880156,0.9638005327292285,1.2554029044049986,1.234811993973947,1.657138388234422,3.1676885731543227,3.0817930555000395,1.26219109296422,1.600744225714367,2.5024014817042395,2.6321826168562317,2.629743153466782,1.5636321932767436,1.2763674331206916,0.706959935527688,1.8595903917719696,0.3694164925012211,0.624329390931613,1.9849051130455009,2.0118622746570924,0.7001869576722178,1.7891259684339593,0.7256237250574163,3.6909384786310295,0.6892250010664471,0.8135149221784088,3.270264336178966,2.0331689866395615
RELA,2.061279622740333,3.820977393276426,1.6893290371238017,1.385336900647964,2.3170445438177434,1.665332444341885,0.45462131399783584,2.5346510630482735,1.4618030051771758,1.4870315725468242,1.4766430669605966,2.204568236284402,1.9191025261920331,1.290553644734508,2.2915249128831534,2.190041241117762,1.5845788221813606,2.213864995592605,1.7442484440837602,1.0272419633742995,1.3371350550636154,2.2264405065975486,1.312547608665203,1.0095974261310845,2.4661277713601706,0.0676031562033727,1.51377220618283,2.6266371764062217,2.038182762932067,2.1242200820049986,2.134156438838379,2.1869048735737735,2.0469470145058577,2.588145737780286,1.9391150035230051,2.486079750573109,0.8665276781367172,1.5257408865112645,1.4606101172551942,1.7853770995203015,2.5194112515544878,2.7161950842603164,1.240078533394011,0.6260955811432921,1.9730970214790013,3.3335013352378775,1.7661555319477047,1.9139471069769374,3.7910165871356996,2.1313160719228392
TNFAIP3,2.006597874832635,3.4657989506209654,1.6785190976023165,0.6172697345126651,1.7534306675547047,0.7655383707302187,0.7557509253899048,2.340853692965697,0.8242664609735195,0.5882264884690229,0.6148212845462055,1.4808017962383466,1.0249653471191371,1.5994744425373408,1.8131428482974388,1.875365847530166,1.4474998110963782,2.1920397899905955,1.8531093606614437,1.6431383351175453,1.7590231329809412,1.9623992109542279,0.470068503890757,0.6948162321561882,2.4791658271165717,0.838267424007551,0.7154241951015718,1.7578948167600343,1.559187724137188,1.8236363170676333,1.5955054282307688,1.2863800733271176,1.1801453709513694,1.72248958519565,1.3414401890638676,2.495192742489911,0.860073714501076,0.6440186375726966,1.8940769781902953,2.182497895050898,1.9199648724559586,2.2037018704777838,1.0872056789696363,0.6995320617840094,2.237671078327522,2.437329580423048,1.735706308264498,1.8678262349621044,3.0914407837657456,1.3467979965032593
TRADD,1.6860264366530306,3.5479884972691154,1.3357992410530246,1.6644197333543163,2.2973910303353757,2.1212773503287434,1.13083857261917,2.211569747273633,1.6250385738549609,1.909519822297528,1.8319205755561456,2.3394184754461893,2.389782143927952,0.7809262321496044,2.2043971665529076,1.9872761449112373,1.3460505264616793,1.8007879081552132,1.2966835110577764,0.3589913966467047,0.7393048292397215,1.9820631623620117,1.668187732165661,1.1103563753007077,2.010883779752524,0.6935169002844281,1.7978171557372806,3.1378825795850713,2.7038041366705254,1.9185926095032357,2.1126962869635313,2.5904020312229887,2.562582107103939,2.877550999163324,1.9900603724060626,2.0319601278796364,0.8301084536719767,1.9049939120149915,0.8423790938974366,1.1621262291017997,2.5133168884459964,2.6212823330507287,1.1152965889526774,1.29963738867536,1.4046766733883604,3.7811537487525118,1.4138158410322543,1.5509233531484616,3.8193547003505284,2.3350804420368583
TRAF2,1.8129609190371878,1.1025897281521466,2.0097088603674576,2.132861479913316,0.9997239754285685,2.4920963614594043,3.4279187837483507,1.379278018784627,1.9238537032940812,2.4136919876952283,2.2381051888255654,1.328727178403969,2.5426279222050194,2.6120849007580755,1.0279337441334364,1.2818695601509604,1.896593375013161,1.8575850624773411,2.2025957773491145,3.147285779952779,2.817166374281662,1.3415354133266935,2.313346355094039,2.3000676436725396,1.9419009952734325,3.2470520771333624,2.0653537037123453,2.9054752921804354,3.9161175260452405,1.3465423613524938,1.1771286573552011,2.2516274045041578,2.772872276168629,1.743867724490384,1.4049568304729845,1.9324358243521405,2.4741744740292395,2.280082810110006,2.8577774891566796,2.8391350610835935,0.8211450007631705,0.6058788482085637,2.125140672207774,3.4235329923926194,2.5464665285297134,2.8060647285242095,1.9499080053720828,1.8719249227814463,0.7863216497373423,1.5469806356857128
TRAF5,3.4059293045663144,4.893962963491105,3.0546934742930825,1.9874435305170113,3.1455054233599915,1.6643565843670567,1.1352785039317188,3.7740621273457964,2.2386990323379616,1.6920488834201686,1.8608181047979104,2.7784503454416773,1.739387750014086,2.813006232863176,3.2331853089772706,3.3141574164983973,2.854724092329645,3.5848892004982806,3.186309543756292,2.612215335935591,2.8997919260681555,3.39968741709476,1.7966050372473796,2.1024078301964737,3.865224059913129,1.5791671950473576,2.0374445344619483,2.0519715172749033,0.7122990742482572,3.262090214697582,3.0035305496123343,2.1162539037155574,1.6439071363336912,2.7164660408135437,2.7375492763278033,3.8828471139968883,2.173478254257761,1.8225654659020902,3.029103857209443,3.3509481753367507,3.286545209567161,3.6031147794572123,2.481754667624869,0.9862016497455796,3.4981893599708163,2.8496990559868176,3.1205407997076677,3.261389728310572,4.3206884865274855,2.584133440002047
